rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
3978	CELF5		296373	1	0	0	0	1	0	0.26	1.00
3979	KRT82	keratin 82	454869	1	0	0	0	0	1	0.26	1.00
3980	TRIM27	tripartite motif-containing 27	424049	1	0	0	0	0	1	0.26	1.00
3981	PFKP	phosphofructokinase, platelet	610379	2	0	1	1	0	0	0.26	1.00
3982	TRAF3IP2	TRAF3 interacting protein 2	574212	2	0	0	1	1	0	0.26	1.00
3983	MKS1	Meckel syndrome, type 1	473297	1	0	0	0	0	1	0.26	1.00
3984	OR1D5	olfactory receptor, family 1, subfamily D, member 5	181000	1	0	0	1	0	0	0.26	1.00
3985	NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	185599	1	0	0	1	0	0	0.26	1.00
3986	TIPIN	TIMELESS interacting protein	295399	1	0	0	1	0	0	0.26	1.00
3987	STC1	stanniocalcin 1	255597	1	0	0	0	1	0	0.26	1.00
3988	ZNF280D	zinc finger protein 280D	950922	1	1	0	0	0	0	0.26	1.00
3989	FADD	Fas (TNFRSF6)-associated via death domain	147713	1	0	0	1	0	0	0.26	1.00
3990	MTF2	metal response element binding transcription factor 2	601222	2	0	0	1	1	0	0.27	1.00
3991	IMMP2L	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	182793	1	0	0	1	0	0	0.27	1.00
3992	UCK2	uridine-cytidine kinase 2	247687	1	0	0	0	1	0	0.27	1.00
3993	KBTBD8	kelch repeat and BTB (POZ) domain containing 8	574243	2	0	0	1	1	0	0.27	1.00
3994	ECM1	extracellular matrix protein 1	552812	2	0	0	1	1	0	0.27	1.00
3995	ZNF605	zinc finger protein 605	607169	2	0	0	1	1	0	0.27	1.00
3996	PSG9	pregnancy specific beta-1-glycoprotein 9	441826	1	0	0	0	0	1	0.27	1.00
3997	ADCY3	adenylate cyclase 3	996445	2	0	1	0	0	1	0.27	1.00
3998	SLC20A2	solute carrier family 20 (phosphate transporter), member 2	639960	2	0	1	1	0	0	0.27	1.00
3999	OTX2	orthodenticle homeobox 2	263100	1	0	0	0	1	0	0.27	1.00
4000	CD93	CD93 molecule	456343	1	0	0	0	0	1	0.27	1.00
4001	OPN5	opsin 5	366814	1	0	0	0	0	1	0.27	1.00
4002	OR52I1	olfactory receptor, family 52, subfamily I, member 1	283744	1	0	0	0	1	0	0.27	1.00
4003	ANKRD24	ankyrin repeat domain 24	453778	1	0	0	0	0	1	0.27	1.00
4004	RICTOR		1751777	2	0	2	0	0	0	0.27	1.00
4005	DHCR7	7-dehydrocholesterol reductase	378576	1	0	1	0	0	0	0.27	1.00
4006	AFM	afamin	607770	2	0	0	1	1	0	0.27	1.00
4007	BICC1	bicaudal C homolog 1 (Drosophila)	961228	3	0	0	2	1	0	0.27	1.00
4008	RPS6KB2	ribosomal protein S6 kinase, 70kDa, polypeptide 2	246968	1	0	0	0	1	0	0.27	1.00
4009	PRPF39	PRP39 pre-mRNA processing factor 39 homolog (S. cerevisiae)	450175	1	0	0	0	0	1	0.27	1.00
4010	WARS	tryptophanyl-tRNA synthetase	488589	1	0	0	0	0	1	0.27	1.00
4011	TXNL1	thioredoxin-like 1	279859	1	0	0	1	0	0	0.27	1.00
4012	MBNL1	muscleblind-like (Drosophila)	433583	1	0	0	0	0	1	0.27	1.00
4013	NCK2	NCK adaptor protein 2	292254	1	0	0	0	1	0	0.27	1.00
4014	OR52N4	olfactory receptor, family 52, subfamily N, member 4	293050	1	0	0	0	1	0	0.27	1.00
4015	ZNF665	zinc finger protein 665	601307	2	0	0	1	1	0	0.27	1.00
4016	BLK	B lymphoid tyrosine kinase	396469	1	0	1	0	0	0	0.27	1.00
4017	ANP32B	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	195424	1	0	0	0	1	0	0.27	1.00
4018	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	1164133	3	0	0	2	0	1	0.27	1.00
4019	MCM5	minichromosome maintenance complex component 5	673481	2	0	0	1	0	1	0.27	1.00
4020	EXO1	exonuclease 1	869383	2	0	1	0	1	0	0.27	1.00
4021	PIGA	phosphatidylinositol glycan anchor biosynthesis, class A (paroxysmal nocturnal hemoglobinuria)	489316	1	0	1	0	0	0	0.27	1.00
4022	OR4D10	olfactory receptor, family 4, subfamily D, member 10	282188	1	0	0	0	1	0	0.27	1.00
4023	GDA	guanine deaminase	466827	1	0	1	0	0	0	0.27	1.00
4024	DNM1	dynamin 1	681616	2	1	0	0	1	0	0.27	1.00
4025	FAM86A	family with sequence similarity 86, member A	235474	1	1	0	0	0	0	0.27	1.00
4026	MARK4	MAP/microtubule affinity-regulating kinase 4	505596	2	1	0	1	0	0	0.27	1.00
4027	CCR6	chemokine (C-C motif) receptor 6	364613	1	1	0	0	0	0	0.27	1.00
4028	VPS16	vacuolar protein sorting 16 homolog (S. cerevisiae)	759138	2	0	1	0	1	0	0.27	1.00
4029	ADNP2	ADNP homeobox 2	942052	3	0	0	2	1	0	0.27	1.00
4030	NPVF	neuropeptide VF precursor	203298	1	0	0	0	1	0	0.27	1.00
4031	FAM98B	family with sequence similarity 98, member B	283306	1	0	0	1	0	0	0.27	1.00
4032	CYSLTR1	cysteinyl leukotriene receptor 1	303614	1	0	0	1	0	0	0.27	1.00
4033	ADAP2		353785	1	0	1	0	0	0	0.27	1.00
4034	LGALS9C		164421	1	0	0	1	0	0	0.27	1.00
4035	LRRC18	leucine rich repeat containing 18	258220	1	0	0	0	1	0	0.27	1.00
4036	RIMBP2	RIMS binding protein 2	814175	2	0	0	0	1	1	0.27	1.00
4037	SBDS	Shwachman-Bodian-Diamond syndrome	253104	1	0	0	0	1	0	0.27	1.00
4038	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	607512	2	0	0	2	0	0	0.27	1.00
4039	UPP1	uridine phosphorylase 1	329167	1	1	0	0	0	0	0.27	1.00
4040	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	996695	3	0	1	1	1	0	0.27	1.00
4041	PDE4A	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)	766448	2	0	1	0	1	0	0.27	1.00
4042	ZNF224	zinc finger protein 224	700852	2	0	0	2	0	0	0.27	1.00
4043	TEC	tec protein tyrosine kinase	661777	1	1	0	0	0	0	0.27	1.00
4044	OLIG3	oligodendrocyte transcription factor 3	143493	1	0	0	1	0	0	0.27	1.00
4045	TMPRSS5	transmembrane protease, serine 5 (spinesin)	264834	1	0	0	0	1	0	0.27	1.00
4046	TMC8	transmembrane channel-like 8	315782	1	1	0	0	0	0	0.27	1.00
4047	CCDC157		396261	1	1	0	0	0	0	0.27	1.00
4048	H2BFWT	H2B histone family, member W, testis-specific	150713	1	0	0	1	0	0	0.27	1.00
4049	VAX1	ventral anterior homeobox 1	140113	1	0	0	1	0	0	0.27	1.00
4050	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	387030	1	0	1	0	0	0	0.27	1.00
4051	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	302418	1	0	0	0	1	0	0.27	1.00
4052	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	809850	2	0	0	0	2	0	0.27	1.00
4053	C9orf78	chromosome 9 open reading frame 78	257052	1	0	0	0	1	0	0.27	1.00
4054	PCDHA10	protocadherin alpha 10	522186	2	1	0	1	0	0	0.27	1.00
4055	BMI1	BMI1 polycomb ring finger oncogene	294087	1	0	0	1	0	0	0.27	1.00
4056	WDR66	WD repeat domain 66	1024669	3	0	0	1	1	1	0.27	1.00
4057	GGPS1	geranylgeranyl diphosphate synthase 1	303519	1	0	0	1	0	0	0.27	1.00
4058	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2	1344437	4	1	0	2	1	0	0.27	1.00
4059	RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	803906	2	1	1	0	0	0	0.27	1.00
4060	MYEOV	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)	252575	1	0	0	0	1	0	0.27	1.00
4061	ADA	adenosine deaminase	336844	1	1	0	0	0	0	0.27	1.00
4062	NCCRP1		154510	1	0	0	1	0	0	0.27	1.00
4063	EIF2B2	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	345302	1	0	1	0	0	0	0.27	1.00
4064	PROC	protein C (inactivator of coagulation factors Va and VIIIa)	305950	1	0	0	0	1	0	0.27	1.00
4065	MKNK1	MAP kinase interacting serine/threonine kinase 1	420969	1	0	0	0	0	1	0.27	1.00
4066	GCM1	glial cells missing homolog 1 (Drosophila)	446603	1	0	0	0	0	1	0.27	1.00
4067	ZMIZ1	zinc finger, MIZ-type containing 1	949960	2	0	1	0	0	1	0.27	1.00
4068	GPR151	G protein-coupled receptor 151	403441	1	0	1	0	0	0	0.27	1.00
4069	MBD3	methyl-CpG binding domain protein 3	138719	1	0	0	1	0	0	0.27	1.00
4070	OR10C1	olfactory receptor, family 10, subfamily C, member 1	326096	1	1	0	0	0	0	0.27	1.00
4071	ALKBH8	alkB, alkylation repair homolog 8 (E. coli)	299691	1	0	0	1	0	0	0.27	1.00
4072	AOX1	aldehyde oxidase 1	1427915	4	0	1	1	2	0	0.27	1.00
4073	FBXO6	F-box protein 6	251604	1	0	0	0	1	0	0.27	1.00
4074	CCDC120	coiled-coil domain containing 120	307727	1	0	1	0	0	0	0.27	1.00
4075	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	264379	1	0	0	0	1	0	0.27	1.00
4076	FGD6	FYVE, RhoGEF and PH domain containing 6	1433504	3	0	0	3	0	0	0.27	1.00
4077	C19orf62	chromosome 19 open reading frame 62	170483	1	0	0	1	0	0	0.27	1.00
4078	PDE2A	phosphodiesterase 2A, cGMP-stimulated	713984	2	0	0	1	0	1	0.27	1.00
4079	PGBD2	piggyBac transposable element derived 2	596395	2	0	0	1	1	0	0.27	1.00
4080	THADA	thyroid adenoma associated	1623208	2	1	1	0	0	0	0.27	1.00
4081	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	382756	1	0	1	0	0	0	0.27	1.00
4082	ZNF331	zinc finger protein 331	435617	1	0	1	0	0	0	0.27	1.00
4083	NCKAP1L	NCK-associated protein 1-like	1201411	3	1	0	1	1	0	0.27	1.00
4084	RNF112		315548	1	0	1	0	0	0	0.27	1.00
4085	SCNN1G	sodium channel, nonvoltage-gated 1, gamma	656113	2	0	1	1	0	0	0.27	1.00
4086	GTPBP1	GTP binding protein 1	583335	2	0	0	2	0	0	0.27	1.00
4087	TSC1	tuberous sclerosis 1	1186269	3	0	1	1	0	1	0.27	1.00
4088	HBXIP	hepatitis B virus x interacting protein	158174	1	0	0	1	0	0	0.27	1.00
4089	CLIC6	chloride intracellular channel 6	256046	1	0	0	0	1	0	0.27	1.00
4090	PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4	1422566	4	0	1	2	1	0	0.27	1.00
4091	FAM105B	family with sequence similarity 105, member B	271703	1	0	0	0	1	0	0.27	1.00
4092	CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1	429618	1	0	0	0	0	1	0.27	1.00
4093	ROD1	ROD1 regulator of differentiation 1 (S. pombe)	581102	2	0	0	1	1	0	0.27	1.00
4094	NXN	nucleoredoxin	235098	1	1	0	0	0	0	0.27	1.00
4095	PDE6C	phosphodiesterase 6C, cGMP-specific, cone, alpha prime	875445	2	0	0	0	1	1	0.27	1.00
4096	KRIT1	KRIT1, ankyrin repeat containing	752470	2	0	0	0	1	1	0.27	1.00
4097	LAMC3	laminin, gamma 3	1135256	4	1	0	2	1	0	0.27	1.00
4098	GEN1	Gen homolog 1, endonuclease (Drosophila)	886117	2	0	0	2	0	0	0.27	1.00
4099	RFX1	regulatory factor X, 1 (influences HLA class II expression)	304490	1	0	0	0	1	0	0.27	1.00
4100	TSHZ2	teashirt zinc finger homeobox 2	1032215	3	0	0	1	2	0	0.27	1.00
4101	HSPA1L	heat shock 70kDa protein 1-like	638166	2	0	0	2	0	0	0.27	1.00
4102	B3GAT2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	160628	1	0	0	1	0	0	0.27	1.00
4103	CDH4	cadherin 4, type 1, R-cadherin (retinal)	704562	2	2	0	0	0	0	0.27	1.00
4104	NCAM1	neural cell adhesion molecule 1	797143	2	0	1	0	1	0	0.27	1.00
4105	GRXCR1		266399	1	0	0	0	1	0	0.27	1.00
4106	FN3KRP		257623	1	0	0	0	1	0	0.27	1.00
4107	ZNF597	zinc finger protein 597	399620	1	0	0	0	0	1	0.27	1.00
4108	SCARF1	scavenger receptor class F, member 1	310458	1	0	0	0	1	0	0.27	1.00
4109	MICALL1	MICAL-like 1	479414	1	0	0	0	0	1	0.27	1.00
4110	KLRC3	killer cell lectin-like receptor subfamily C, member 3	207047	1	0	0	0	1	0	0.27	1.00
4111	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like	272474	1	0	0	0	1	0	0.27	1.00
4112	MITF	microphthalmia-associated transcription factor	570514	2	0	0	1	1	0	0.27	1.00
4113	ACAD8	acyl-Coenzyme A dehydrogenase family, member 8	369453	1	0	1	0	0	0	0.27	1.00
4114	NLRP13	NLR family, pyrin domain containing 13	1060204	3	0	0	1	2	0	0.27	1.00
4115	OPTN	optineurin	578483	2	0	0	1	1	0	0.27	1.00
4116	OR2T12	olfactory receptor, family 2, subfamily T, member 12	269517	1	0	0	0	1	0	0.27	1.00
4117	THOC7	THO complex 7 homolog (Drosophila)	200934	1	0	0	0	1	0	0.27	1.00
4118	FAM8A1	family with sequence similarity 8, member A1	195563	1	0	0	0	1	0	0.27	1.00
4119	FAM117B		382222	1	0	0	0	0	1	0.27	1.00
4120	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	415069	1	0	1	0	0	0	0.27	1.00
4121	GPHN	gephyrin	811854	2	0	1	0	1	0	0.27	1.00
4122	BRI3BP	BRI3 binding protein	150308	1	0	0	1	0	0	0.27	1.00
4123	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	597681	2	0	0	1	1	0	0.27	1.00
4124	DUSP7	dual specificity phosphatase 7	230610	1	1	0	0	0	0	0.27	1.00
4125	CCNB1IP1	cyclin B1 interacting protein 1	275654	1	0	0	0	1	0	0.27	1.00
4126	ZNF280C	zinc finger protein 280C	739457	1	1	0	0	0	0	0.28	1.00
4127	RNF20	ring finger protein 20	979781	3	0	0	2	1	0	0.28	1.00
4128	NDRG4	NDRG family member 4	259159	1	0	0	0	1	0	0.28	1.00
4129	SAFB	scaffold attachment factor B	576671	2	1	0	1	0	0	0.28	1.00
4130	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	603527	2	0	0	1	1	0	0.28	1.00
4131	INTS6	integrator complex subunit 6	825687	2	0	1	0	1	0	0.28	1.00
4132	AGFG2		420463	1	0	0	0	0	1	0.28	1.00
4133	STON1-GTF2A1L	STON1-GTF2A1L	1178317	1	1	0	0	0	0	0.28	1.00
4134	CDH13	cadherin 13, H-cadherin (heart)	632311	2	0	0	2	0	0	0.28	1.00
4135	WIPF2	WAS/WASL interacting protein family, member 2	422719	1	0	0	0	0	1	0.28	1.00
4136	GJB6	gap junction protein, beta 6, 30kDa	263931	1	0	0	0	1	0	0.28	1.00
4137	RTN3	reticulon 3	994664	1	1	0	0	0	0	0.28	1.00
4138	SQRDL	sulfide quinone reductase-like (yeast)	398211	1	0	1	0	0	0	0.28	1.00
4139	ZNF80	zinc finger protein 80	271070	1	0	0	0	1	0	0.28	1.00
4140	MAGEA1	melanoma antigen family A, 1 (directs expression of antigen MZ2-E)	284281	1	0	0	0	1	0	0.28	1.00
4141	CENPJ	centromere protein J	1375768	4	0	0	2	2	0	0.28	1.00
4142	ARMC9	armadillo repeat containing 9	685594	2	0	1	1	0	0	0.28	1.00
4143	CASP14	caspase 14, apoptosis-related cysteine peptidase	255278	1	0	0	0	1	0	0.28	1.00
4144	KLC3	kinesin light chain 3	243313	1	1	0	0	0	0	0.28	1.00
4145	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	735554	2	0	0	1	0	1	0.28	1.00
4146	LIPJ	lipase, family member J	334548	1	0	0	1	0	0	0.28	1.00
4147	MYL2	myosin, light chain 2, regulatory, cardiac, slow	177806	1	0	0	1	0	0	0.28	1.00
4148	EMID1	EMI domain containing 1	277453	1	0	1	0	0	0	0.28	1.00
4149	TMEM146	transmembrane protein 146	676341	2	1	0	1	0	0	0.28	1.00
4150	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	475082	1	0	0	0	0	1	0.28	1.00
4151	TAS2R9	taste receptor, type 2, member 9	315258	1	0	0	1	0	0	0.28	1.00
4152	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6	265156	1	0	0	0	1	0	0.28	1.00
4153	NEU3	sialidase 3 (membrane sialidase)	388266	1	0	1	0	0	0	0.28	1.00
4154	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	619527	2	0	0	1	1	0	0.28	1.00
4155	SCYL3	SCY1-like 3 (S. cerevisiae)	758086	2	0	1	1	0	0	0.28	1.00
4156	ZBTB38	zinc finger and BTB domain containing 38	1053170	3	0	1	1	1	0	0.28	1.00
4157	MYO19	myosin XIX	740316	2	0	0	1	0	1	0.28	1.00
4158	ANKZF1	ankyrin repeat and zinc finger domain containing 1	604387	2	0	0	2	0	0	0.28	1.00
4159	CASP6	caspase 6, apoptosis-related cysteine peptidase	280111	1	0	0	0	1	0	0.28	1.00
4160	THAP2	THAP domain containing, apoptosis associated protein 2	204587	1	0	0	0	1	0	0.28	1.00
4161	WNT2	wingless-type MMTV integration site family member 2	347914	1	0	1	0	0	0	0.28	1.00
4162	TM4SF4	transmembrane 4 L six family member 4	183502	1	0	0	1	0	0	0.28	1.00
4163	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	272989	1	0	0	0	1	0	0.28	1.00
4164	SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	418429	1	0	0	0	0	1	0.28	1.00
4165	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	335591	1	1	0	0	0	0	0.28	1.00
4166	ATG2A	ATG2 autophagy related 2 homolog A (S. cerevisiae)	777458	2	0	1	0	1	0	0.28	1.00
4167	POU2F3	POU class 2 homeobox 3	446607	1	0	0	0	0	1	0.28	1.00
4168	OR5AS1	olfactory receptor, family 5, subfamily AS, member 1	318539	1	0	0	1	0	0	0.28	1.00
4169	ACTN2	actinin, alpha 2	892690	3	1	0	1	1	0	0.28	1.00
4170	FUCA2	fucosidase, alpha-L- 2, plasma	424000	1	0	1	0	0	0	0.28	1.00
4171	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	290068	1	0	0	0	1	0	0.28	1.00
4172	GSPT1	G1 to S phase transition 1	436608	1	0	1	0	0	0	0.28	1.00
4173	SRPRB	signal recognition particle receptor, B subunit	272659	1	0	0	0	1	0	0.28	1.00
4174	C1orf168	chromosome 1 open reading frame 168	758541	2	0	0	0	2	0	0.28	1.00
4175	RASGEF1A	RasGEF domain family, member 1A	271697	1	0	0	0	1	0	0.28	1.00
4176	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	260794	1	0	0	0	1	0	0.28	1.00
4177	PROS1	protein S (alpha)	667229	1	1	0	0	0	0	0.28	1.00
4178	LIFR	leukemia inhibitory factor receptor alpha	1133755	2	1	0	0	1	0	0.28	1.00
4179	RBAK	RB-associated KRAB zinc finger	699996	2	0	0	0	2	0	0.28	1.00
4180	DTX3L	deltex 3-like (Drosophila)	725439	2	0	0	0	2	0	0.28	1.00
4181	C1orf85	chromosome 1 open reading frame 85	364228	1	0	1	0	0	0	0.28	1.00
4182	KRT9	keratin 9 (epidermolytic palmoplantar keratoderma)	535760	1	1	0	0	0	0	0.28	1.00
4183	DCTD	dCMP deaminase	184511	1	0	0	1	0	0	0.28	1.00
4184	CTHRC1	collagen triple helix repeat containing 1	201252	1	0	0	1	0	0	0.28	1.00
4185	MATN2	matrilin 2	839128	2	0	0	0	1	1	0.28	1.00
4186	AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	675397	2	0	0	2	0	0	0.28	1.00
4187	ROPN1	ropporin, rhophilin associated protein 1	179927	1	0	0	1	0	0	0.28	1.00
4188	MACC1		830031	2	0	1	0	1	0	0.28	1.00
4189	MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	980459	3	1	0	2	0	0	0.28	1.00
4190	EIF2AK3	eukaryotic translation initiation factor 2-alpha kinase 3	1082737	3	0	0	1	1	1	0.28	1.00
4191	DNAH17	dynein, axonemal, heavy chain 17	3011075	8	1	0	4	3	0	0.28	1.00
4192	C21orf62	chromosome 21 open reading frame 62	194847	1	0	0	1	0	0	0.28	1.00
4193	MTOR		2640644	7	1	1	2	3	0	0.28	1.00
4194	FCF1	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)	202589	1	0	0	1	0	0	0.28	1.00
4195	OR10A5	olfactory receptor, family 10, subfamily A, member 5	303647	1	0	0	0	1	0	0.28	1.00
4196	RHBDL3	rhomboid, veinlet-like 3 (Drosophila)	339974	1	0	1	0	0	0	0.28	1.00
4197	CARNS1		166620	1	0	0	1	0	0	0.28	1.00
4198	NXT2	nuclear transport factor 2-like export factor 2	204863	1	0	0	1	0	0	0.28	1.00
4199	PINX1		272671	1	0	0	0	1	0	0.28	1.00
4200	CLK4	CDC-like kinase 4	487408	1	1	0	0	0	0	0.28	1.00
4201	FAM53C	family with sequence similarity 53, member C	343221	1	0	1	0	0	0	0.28	1.00
4202	B3GALTL	beta 1,3-galactosyltransferase-like	502031	1	0	1	0	0	0	0.28	1.00
4203	ZCWPW2	zinc finger, CW type with PWWP domain 2	333488	1	0	0	1	0	0	0.28	1.00
4204	ACVR1B	activin A receptor, type IB	503804	1	0	0	0	0	1	0.28	1.00
4205	TMEM57	transmembrane protein 57	639112	1	1	0	0	0	0	0.28	1.00
4206	TSPAN15	tetraspanin 15	267321	1	0	0	0	1	0	0.28	1.00
4207	CAPZA3	capping protein (actin filament) muscle Z-line, alpha 3	304885	1	0	0	1	0	0	0.28	1.00
4208	GABBR2	gamma-aminobutyric acid (GABA) B receptor, 2	843712	2	0	0	0	1	1	0.28	1.00
4209	TEX14	testis expressed 14	1560505	2	0	2	0	0	0	0.28	1.00
4210	SNRPA	small nuclear ribonucleoprotein polypeptide A	255070	1	0	0	0	1	0	0.28	1.00
4211	FAM75A7	family with sequence similarity 75, member A7	402802	1	0	1	0	0	0	0.28	1.00
4212	DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59	631324	2	0	0	1	1	0	0.28	1.00
4213	PTPRC	protein tyrosine phosphatase, receptor type, C	1369649	3	0	1	1	0	1	0.28	1.00
4214	SPOP	speckle-type POZ protein	392104	1	0	0	0	0	1	0.28	1.00
4215	DHX32	DEAH (Asp-Glu-Ala-His) box polypeptide 32	762299	2	0	0	1	0	1	0.28	1.00
4216	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	529015	1	1	0	0	0	0	0.28	1.00
4217	CHRNA10	cholinergic receptor, nicotinic, alpha 10	261550	1	0	0	0	1	0	0.28	1.00
4218	RBMS1	RNA binding motif, single stranded interacting protein 1	417440	1	0	0	0	0	1	0.28	1.00
4219	OR5D13	olfactory receptor, family 5, subfamily D, member 13	319311	1	0	0	1	0	0	0.28	1.00
4220	NKX6-1	NK6 homeobox 1	153885	1	0	0	1	0	0	0.28	1.00
4221	FCN2	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	265683	1	0	0	0	1	0	0.28	1.00
4222	MCF2L	MCF.2 cell line derived transforming sequence-like	530917	2	1	0	1	0	0	0.28	1.00
4223	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)	303680	1	0	0	0	1	0	0.28	1.00
4224	TMPO	thymopoietin	810540	2	0	0	0	1	1	0.28	1.00
4225	GIMAP7	GTPase, IMAP family member 7	291776	1	0	0	0	1	0	0.28	1.00
4226	PIR	pirin (iron-binding nuclear protein)	296919	1	0	0	0	1	0	0.28	1.00
4227	PLA2G2F	phospholipase A2, group IIF	178474	1	0	0	1	0	0	0.28	1.00
4228	VN1R4	vomeronasal 1 receptor 4	206958	1	0	0	1	0	0	0.28	1.00
4229	SPPL3		383686	1	0	1	0	0	0	0.28	1.00
4230	OIT3	oncoprotein induced transcript 3	566015	2	0	0	1	1	0	0.28	1.00
4231	OR1D2	olfactory receptor, family 1, subfamily D, member 2	312229	1	0	0	0	1	0	0.28	1.00
4232	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	555158	2	0	0	1	1	0	0.28	1.00
4233	RFXANK	regulatory factor X-associated ankyrin-containing protein	255166	1	1	0	0	0	0	0.29	1.00
4234	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa)	577134	2	0	0	1	1	0	0.29	1.00
4235	NIPBL	Nipped-B homolog (Drosophila)	2803666	5	0	0	0	4	1	0.29	1.00
4236	ZNF140	zinc finger protein 140	460046	1	0	0	0	0	1	0.29	1.00
4237	KCNF1	potassium voltage-gated channel, subfamily F, member 1	315816	1	0	0	0	1	0	0.29	1.00
4238	CTSG	cathepsin G	265570	1	0	0	0	1	0	0.29	1.00
4239	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	376628	1	0	1	0	0	0	0.29	1.00
4240	BRWD3	bromodomain and WD repeat domain containing 3	1767583	3	0	0	0	1	2	0.29	1.00
4241	KLHL26	kelch-like 26 (Drosophila)	214684	1	1	0	0	0	0	0.29	1.00
4242	AKAP8	A kinase (PRKA) anchor protein 8	543456	2	0	0	1	1	0	0.29	1.00
4243	KCTD7	potassium channel tetramerisation domain containing 7	252460	1	1	0	0	0	0	0.29	1.00
4244	OR2AG2	olfactory receptor, family 2, subfamily AG, member 2	307936	1	0	0	0	1	0	0.29	1.00
4245	CIDEC	cell death-inducing DFFA-like effector c	189679	1	0	0	1	0	0	0.29	1.00
4246	TOP1MT	topoisomerase (DNA) I, mitochondrial	469662	1	0	0	0	0	1	0.29	1.00
4247	PRRX1	paired related homeobox 1	247081	1	1	0	0	0	0	0.29	1.00
4248	C11orf74	chromosome 11 open reading frame 74	224805	1	0	0	0	1	0	0.29	1.00
4249	C7orf28B	chromosome 7 open reading frame 28B	207611	1	0	0	0	1	0	0.29	1.00
4250	FAM83G	family with sequence similarity 83, member G	324270	1	0	0	0	1	0	0.29	1.00
4251	ZNF549	zinc finger protein 549	628102	2	0	0	1	1	0	0.29	1.00
4252	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	598089	2	0	0	2	0	0	0.29	1.00
4253	GDNF	glial cell derived neurotrophic factor	189595	1	0	0	1	0	0	0.29	1.00
4254	TMED3	transmembrane emp24 protein transport domain containing 3	174698	1	0	0	1	0	0	0.29	1.00
4255	TRIP13	thyroid hormone receptor interactor 13	397569	1	0	0	0	0	1	0.29	1.00
4256	ACTL6A	actin-like 6A	445623	1	0	1	0	0	0	0.29	1.00
4257	PGLYRP1	peptidoglycan recognition protein 1	169014	1	0	0	1	0	0	0.29	1.00
4258	SLC4A11	solute carrier family 4, sodium borate transporter, member 11	575623	2	0	0	1	1	0	0.29	1.00
4259	CAMKV	CaM kinase-like vesicle-associated	446601	1	1	0	0	0	0	0.29	1.00
4260	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	1101769	2	1	0	0	0	1	0.29	1.00
4261	ADORA3	adenosine A3 receptor	593634	2	0	0	1	1	0	0.29	1.00
